block,manuscript_table,pair,setting,metric,value,ci_lo,ci_hi,n_scored,n_dual,n_A_only,n_B_only,n_flip,label_agreement,note,source_file
primary_directional,Table 2,EGFR/HER2,frozen_cached_max_theta6,summary_min,0.4297,0.284,0.5759,98,28,38,32,,,Primary endpoint. Cached max pChEMBL labels. Neither excluded.,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,EGFR/HER2,frozen_cached_max_theta6,auroc_D_vs_A_pocketB,0.6664,,,,28,38,,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,EGFR/HER2,frozen_cached_max_theta6,auroc_D_vs_B_pocketA,0.4297,,,,28,,32,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,AChE/BChE,frozen_cached_max_theta6,summary_min,0.6058,0.4396,0.74,80,27,25,28,,,Primary endpoint. Cached max pChEMBL labels. Neither excluded.,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,AChE/BChE,frozen_cached_max_theta6,auroc_D_vs_A_pocketB,0.6504,,,,27,25,,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,AChE/BChE,frozen_cached_max_theta6,auroc_D_vs_B_pocketA,0.6058,,,,27,,28,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/PIK3CB,frozen_cached_max_theta6,summary_min,0.5,0.3468,0.648,83,28,27,28,,,Primary endpoint. Cached max pChEMBL labels. Neither excluded.,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/PIK3CB,frozen_cached_max_theta6,auroc_D_vs_A_pocketB,0.6905,,,,28,27,,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/PIK3CB,frozen_cached_max_theta6,auroc_D_vs_B_pocketA,0.5,,,,28,,28,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/mTOR,frozen_cached_max_theta6,summary_min,0.6921,0.4638,0.8015,44,18,14,12,,,Primary endpoint. Cached max pChEMBL labels. Neither excluded.,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/mTOR,frozen_cached_max_theta6,auroc_D_vs_A_pocketB,0.7143,,,,18,14,,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
primary_directional,Table 2,PIK3CA/mTOR,frozen_cached_max_theta6,auroc_D_vs_B_pocketA,0.6921,,,,18,,12,,,,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv
formulation,Table 3,EGFR/HER2,dualfourclass_directional,summary_min,0.4297,,,,28,,,,,worst-arm aggregation; CI is on the two arms separately,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,EGFR/HER2,conventional_dual_vs_neither,D_vs_neither_mean,0.756,0.5625,0.9197,,28,,,,,Zhou-like dual vs noninhibitors using pooled score,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,AChE/BChE,dualfourclass_directional,summary_min,0.6058,,,,27,,,,,worst-arm aggregation; CI is on the two arms separately,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,AChE/BChE,conventional_dual_vs_neither,D_vs_neither_mean,0.6494,0.484,0.8123,,27,,,,,Zhou-like dual vs noninhibitors using pooled score,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,PIK3CA/PIK3CB,dualfourclass_directional,summary_min,0.5,,,,28,,,,,worst-arm aggregation; CI is on the two arms separately,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,PIK3CA/PIK3CB,conventional_dual_vs_neither,D_vs_neither_mean,0.5592,0.3728,0.7456,,28,,,,,Zhou-like dual vs noninhibitors using pooled score,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,PIK3CA/mTOR,dualfourclass_directional,summary_min,0.6921,,,,18,,,,,worst-arm aggregation; CI is on the two arms separately,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
formulation,Table 3,PIK3CA/mTOR,conventional_dual_vs_neither,D_vs_neither_mean,0.5139,0.2222,0.8056,,18,,,,,Zhou-like dual vs noninhibitors using pooled score,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv
aggregation_sensitivity,Table S26,EGFR/HER2,frozen_cached_max_theta6,summary_min,0.4297,,,,28,38,32,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,EGFR/HER2,frozen_cached_max_theta6,summary_mean,0.5481,,,,28,38,32,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,EGFR/HER2,frozen_cached_max_theta6,summary_geometric,0.5351,,,,28,38,32,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,EGFR/HER2,frozen_cached_max_theta6,summary_harmonic,0.5225,,,,28,38,32,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,AChE/BChE,frozen_cached_max_theta6,summary_min,0.6058,,,,27,25,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
