smiles,pAct_JNK1,pAct_JNK2,pAct_JNK3
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.3,5.9557142857142855,6.260000000000001
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1,,5.325,
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,7.548571428571429,5.85
COc1cc2c(cc1Cl)CCN=C2c1cccc(Cl)c1,,,4.9
COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NCC2,,,5.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,,,6.2
COc1cc2c(cc1Cl)C(c1ccccc1)=NCC2,,,5.2
COc1cc2c(cc1Cl)CCN=C2c1cccc(Br)c1,,,5.0
Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1cccc(C(N)=O)c1,,3.7772835288524167,
CN(C)CCCNC(=O)c1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,,,5.26
COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(-c4cn[nH]c4)cc3s2)c1,,,4.86
c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,,,7.58
COc1cc2c(cc1Cl)C(c1ccc(F)cc1)=NCC2,,,5.3
COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,,,6.4
COc1cc2c(cc1Cl)C(c1cccc(F)c1)=NCC2,,,5.4
COc1cc2c(cc1OC)C(c1ccc(Cl)c(Cl)c1)=NCC2,,,5.2
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,4.0,6.1,6.9
COc1cc2c(cc1Cl)CCN=C2c1ccc(Cl)c(Cl)c1,,,4.8
COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,,,6.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,,5.9,6.75
COc1cc2c(cc1Cl)C(c1cccc(C)c1)=NCC2,,,5.7
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,5.27,,
CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,7.0,,8.52
CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](Cc2ccc(OC)cc2)CC3)n1,,,7.96
CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1,,5.33,
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,,4.87,
CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,5.82,7.33,
O=C1NC(=O)/C(=C2/C(=O)Nc3ccccc32)S1,,,5.18
OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,6.82,7.52,
O=C(NCCN1CCCC1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1,,,4.05
O=C(NC[C@@H]1CCCN1)c1ccc(-c2cnc3ccc(NCc4cccc(Cl)c4)nn23)cc1,,,4.11
CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,5.38,,
COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4)cn3)c2)cc(OC)c1OC,6.4,,7.6
COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,7.14,,8.05
C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.85,,6.8
COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,5.68,4.88,5.77
COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,6.05,5.0,6.05
COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,5.68,4.57,5.27
COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,5.19,4.63,5.19
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,5.4,4.57,5.29
O=C(Cc1cccc2ccccc12)Nc1ccsc1-n1ccnc1,4.57,,5.175
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1cc[nH]n1,5.4,,5.37
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,5.79,5.41,5.67
Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,5.525,4.79,5.49
Cn1ccc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n1,4.62,,4.37
Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.949999999999999,5.46,5.779999999999999
Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n(C)n1,4.52,,4.5
Cc1cc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.385,5.82,5.165
COc1ccc(CC(=O)Nc2ccsc2-n2cncn2)cc1,4.36,,4.34
COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1,5.6899999999999995,5.3,5.5600000000000005
COc1ccc(CC(=O)Nc2ccsc2N2CCOC2=O)cc1,,,4.43
COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,5.385,4.82,5.265000000000001
COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,5.699999999999999,5.18,5.55
COc1ccc(CC(=O)Nc2ccsc2-c2cn(C)cn2)cc1,4.62,,4.51
COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,5.98,4.92,5.699999999999999
COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,4.63,,4.57
COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,5.63,5.27,5.5600000000000005
O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,5.9350000000000005,5.725,5.775
O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,6.074999999999999,5.9350000000000005,6.05
COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,5.77,5.28,5.8
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1nc[nH]n1,5.725,5.4399999999999995,5.695
Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,5.574999999999999,5.21,5.55
COC(=O)c1sccc1NC(=O)Cc1ccc(OC)cc1,6.1,4.85,6.0
COC(=O)c1sccc1NC(=O)Cc1ccc(-c2ccncc2)cc1,6.34,,6.16
COC(=O)c1sccc1NC(=O)Cc1ccc(-n2ccnc2)cc1,6.0,,5.8
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,5.845,5.5,5.8149999999999995
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,7.32,5.986666666666667,7.11
