canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
Brc1ccc(Cn2c(Br)nnc2SCc2nnn[n-]2)c2ccccc12.[Na+],c1ccc2c(Cn3cnnc3SCc3nnn[n-]3)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,5.49,URAT1,,CHEMBL4560122
C#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.5,URAT1,,CHEMBL4749075
C/C(=C\C(=O)O)Sc1ccc2ccccc2c1-c1ccc(C#N)cc1,c1ccc(-c2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.6,URAT1,,CHEMBL5818637
C/C(=C\C(=O)O)c1ccc2cncc(-c3ccc([N+](=O)[O-])cc3)c2c1,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.72,URAT1,,CHEMBL5927386
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,O=C1CC(c2cccc3ccccc23)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.72,URAT1,,CHEMBL5620069
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)cc1)CC2=O)C(=O)O,O=C1CC(c2ccccc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.08,URAT1,,CHEMBL5619569
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Cl)cc1)CC2=O)C(=O)O,O=C1CC(c2ccccc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.54,URAT1,,CHEMBL5619622
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,O=C1CC(c2ccccc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.68,URAT1,,CHEMBL5620074
C/C(=C\Cc1c(O)ccc2c1OC(c1cccs1)CC2=O)C(=O)O,O=C1CC(c2cccs2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.44,URAT1,,CHEMBL5618500
C/C(=C\Cc1c(O)ccc2c1OC(c1ccsc1)CC2=O)C(=O)O,O=C1CC(c2ccsc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.19,URAT1,,CHEMBL5620318
C/C(=C\Cc1c(O)ccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O,O=C1CC(c2csc3ccccc23)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.64,URAT1,,CHEMBL5618313
C/C(=C\Cc1cccc2c1OC(c1cc(Br)cs1)CC2=O)C(=O)O,O=C1CC(c2cccs2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.01,URAT1,,CHEMBL5619047
C/C(=C\Cc1cccc2c1OC(c1cc3ccccc3s1)CC2=O)C(=O)O,O=C1CC(c2cc3ccccc3s2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.79,URAT1,,CHEMBL5620313
C/C(=C\Cc1cccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,O=C1CC(c2cccc3ccccc23)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.8,URAT1,,CHEMBL5618375
C/C(=C\Cc1cccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,O=C1CC(c2ccccc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.57,URAT1,,CHEMBL5618751
C/C(=C\Cc1cccc2c1OC(c1cccs1)CC2=O)C(=O)O,O=C1CC(c2cccs2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.07,URAT1,,CHEMBL5618194
C/C(=C\Cc1cccc2c1OC(c1ccsc1)CC2=O)C(=O)O,O=C1CC(c2ccsc2)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,5.66,URAT1,,CHEMBL5618197
C/C(=C\Cc1cccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O,O=C1CC(c2csc3ccccc23)Oc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,6.02,URAT1,,CHEMBL5619241
CC(C)(C(=O)O)c1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.94,URAT1,,CHEMBL5921218
CC(C)(C)C(Sc1ccc2cnsc2c1-c1ccc(C#N)cc1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.32,URAT1,,CHEMBL5874013
CC(C)(C)S(=O)(=O)NC(=O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,O=c1c2ccsc2ncn1-c1ccc(C2CC2)c2ccccc12,A,urat1_pactivity,urat1_curated.csv,True,4.95,URAT1,,CHEMBL5285786
CC(C)(C)c1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CCc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,4.5,URAT1,,CHEMBL4753182
CC(C)(C)c1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,A,urat1_pactivity,urat1_curated.csv,True,4.15,URAT1,,CHEMBL5564048
CC(C)(C)c1ccc(S(=O)(=O)NC(=O)CSc2nc3sccc3c(=O)n2-c2ccc(C3CC3)c3ccccc23)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,A,urat1_pactivity,urat1_curated.csv,True,4.87,URAT1,,CHEMBL5272958
CC(C)(Cc1cc2c(-c3ccc(C#N)c4ccccc34)cccc2s1)C(=O)O,c1ccc2c(-c3cccc4sccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.68,URAT1,,CHEMBL6035788
CC(C)(Cc1cc2c(-c3ccc(C#N)c4ccccc34)cncc2s1)C(=O)O,c1ccc2c(-c3cncc4sccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,7.75,URAT1,,CHEMBL5874127
CC(C)(Cc1cc2c(-c3ccc(C#N)cc3)cncc2s1)C(=O)O,c1ccc(-c2cncc3sccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.92,URAT1,,CHEMBL5314438
CC(C)(Cc1cc2c(Cc3c(Cl)cccc3Cl)cccc2s1)C(=O)O,c1ccc(Cc2cccc3sccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.46,URAT1,,CHEMBL5924634
CC(C)(Cc1cc2cncc(-c3ccc(C#N)c4ccccc34)c2s1)C(=O)O,c1ccc2c(-c3cncc4ccsc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.86,URAT1,,CHEMBL5953598
CC(C)(Cc1cc2cncc(-c3ccc(C#N)cc3)c2s1)C(=O)O,c1ccc(-c2cncc3ccsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.38,URAT1,,CHEMBL5749863
CC(C)(Cc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,7.92,URAT1,,CHEMBL6049501
CC(C)(Cc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.72,URAT1,,CHEMBL5960864
CC(C)(O)c1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.94,URAT1,,CHEMBL3688187
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,O=C(c1ccccc1)c1ccccc1,A,urat1_pactivity,urat1_curated.csv,True,4.96,URAT1,,CHEMBL981
CC(C)(Oc1ccc2ccccc2c1-c1ccc(C#N)c2ccccc12)C(=O)O,c1ccc2c(-c3cccc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,5.69,URAT1,,CHEMBL5876700
CC(C)(Oc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.67,URAT1,,CHEMBL6000020
CC(C)(Oc1nc2ncccc2n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,c1ccc2c(-n3cnc4ncccc43)ccc(C3CC3)c2c1,A,urat1_pactivity,urat1_curated.csv,True,5.51,URAT1,,CHEMBL5200839
CC(C)(Sc1c(-c2ccc(C#N)cc2)cnc2ccccc12)C(=O)O,c1ccc(-c2cnc3ccccc3c2)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.8,URAT1,,CHEMBL6045251
CC(C)(Sc1cc(F)c2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.9,URAT1,,CHEMBL5938260
CC(C)(Sc1ccc2ccccc2c1-c1ccc(C#N)c2ccccc12)C(=O)O,c1ccc2c(-c3cccc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.1,URAT1,,CHEMBL5756831
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c(Cl)c3)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.26,URAT1,,CHEMBL5856878
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4c3OCCO4)c2c1)C(=O)O,c1cc2c(c(-c3cncc4ccccc34)c1)OCCO2,A,urat1_pactivity,urat1_curated.csv,True,7.21,URAT1,,CHEMBL5920428
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccc(F)cc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,7.15,URAT1,,CHEMBL5812692
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,8.1,URAT1,,CHEMBL5759161
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.82,URAT1,,CHEMBL5791883
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3Cl)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.75,URAT1,,CHEMBL5793003
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3F)c2c1)C(=O)O,c1ccc(-c2cncc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.24,URAT1,,CHEMBL5907979
CC(C)(Sc1ccc2cncc(-c3cccc4c(C#N)cccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,7.72,URAT1,,CHEMBL5786822
CC(C)(Sc1ccc2cnnc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3nncc4ccccc34)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.01,URAT1,,CHEMBL5916178
CC(C)(Sc1ccc2cnsc2c1-c1ccc(C#N)c(F)c1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.79,URAT1,,CHEMBL5868805
CC(C)(Sc1ccc2cnsc2c1-c1ccc(C(F)(F)F)cc1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.98,URAT1,,CHEMBL5834607
CC(C)(Sc1ccc2cnsc2c1-c1ccc(Cl)cc1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.97,URAT1,,CHEMBL6025735
CC(C)(Sc1ccc2cnsc2c1-c1ccc([N+](=O)[O-])cc1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,7.92,URAT1,,CHEMBL5962505
CC(C)(Sc1ccc2cnsc2c1-c1cccc(C#N)c1)C(=O)O,c1ccc(-c2cccc3cnsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.69,URAT1,,CHEMBL5870641
CC(C)(Sc1ccc2nccn2c1-c1ccc(C#N)cc1)C(=O)O,c1ccc(-c2cccc3nccn23)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.76,URAT1,,CHEMBL5930761
CC(C)(Sc1ccc2ncsc2c1-c1ccc(C#N)cc1)C(=O)O,c1ccc(-c2cccc3ncsc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.77,URAT1,,CHEMBL5918231
CC(C)(Sc1ccncc1-c1ccc(C#N)c2c(Cl)ccn12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,A,urat1_pactivity,urat1_curated.csv,True,7.17,URAT1,,CHEMBL6003588
CC(C)(Sc1ccncc1-c1ccc(C#N)c2cc(Cl)cn12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,A,urat1_pactivity,urat1_curated.csv,True,7.52,URAT1,,CHEMBL5824346
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccc(Cl)n12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,A,urat1_pactivity,urat1_curated.csv,True,6.55,URAT1,,CHEMBL5823711
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,c1cncc(-c2cccc3ccccc23)c1,A,urat1_pactivity,urat1_curated.csv,True,7.6,URAT1,,CHEMBL3707347
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-].[Na+],c1cncc(-c2cccc3ccccc23)c1,A,urat1_pactivity,urat1_curated.csv,True,6.77,URAT1,,CHEMBL5170470
CC(C)(Sc1ccncc1-c1ccc(C#N)c2cccn12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,A,urat1_pactivity,urat1_curated.csv,True,7.18,URAT1,,CHEMBL6020788
CC(C)(Sc1ccncc1-c1ccc(C2(O)CC2)cc1)C(=O)O,c1cncc(-c2ccc(C3CC3)cc2)c1,A,urat1_pactivity,urat1_curated.csv,True,6.26,URAT1,,CHEMBL6039548
CC(C)(Sc1ccncc1-c1ccc(C2(O)COC2)cc1)C(=O)O,c1cncc(-c2ccc(C3COC3)cc2)c1,A,urat1_pactivity,urat1_curated.csv,True,6.26,URAT1,,CHEMBL5902299
CC(C)(Sc1ccncc1C(=O)N1CCOc2ccccc21)C(=O)O,O=C(c1cccnc1)N1CCOc2ccccc21,A,urat1_pactivity,urat1_curated.csv,True,4.81,URAT1,,CHEMBL5272326
