smiles,pAct_JNK1,pAct_JNK2,pAct_JNK3
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1,,5.325,
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,7.195,
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,,4.87,
COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,,,8.05
C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,,,6.8
COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,,4.88,5.77
COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,,5.0,6.05
COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,,4.57,5.27
COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,,4.63,5.19
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,5.3,4.57,5.29
O=C(Cc1cccc2ccccc12)Nc1ccsc1-n1ccnc1,,,5.175
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1cc[nH]n1,5.3,,5.37
O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,5.3,5.41,5.67
Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,5.3,4.79,5.49
Cn1ccc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n1,,,4.37
Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.3,5.46,5.779999999999999
Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n(C)n1,,,4.5
Cc1cc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,5.3,5.82,5.165
COc1ccc(CC(=O)Nc2ccsc2-n2cncn2)cc1,,,4.34
COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1,5.3,5.3,5.5600000000000005
COc1ccc(CC(=O)Nc2ccsc2N2CCOC2=O)cc1,,,4.43
COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,5.3,4.82,5.265000000000001
COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,5.3,5.18,5.55
COc1ccc(CC(=O)Nc2ccsc2-c2cn(C)cn2)cc1,,,4.51
COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,5.3,4.92,5.699999999999999
COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,,,4.57
COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,5.3,5.27,5.5600000000000005
O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,5.3,5.725,5.775
